Time,Displacement,Force,Work
15.4000,11.00,0.01,0.11
15.4500,13.00,0.01,0.13
15.5000,14.00,0.01,0.14
15.5500,16.00,0.01,0.16
15.6000,15.00,0.01,0.15
15.6500,16.00,0.01,0.16
15.7000,19.00,0.01,0.19
15.7500,22.00,0.01,0.22
15.8000,27.00,0.01,0.27
15.8500,27.00,0.01,0.27
15.9000,29.00,0.01,0.29
15.9500,35.00,0.01,0.35
16.0000,36.00,0.01,0.36
16.0500,36.00,0.01,0.36
16.1000,34.00,0.01,0.34
16.1500,34.00,0.01,0.34
16.2000,35.00,0.01,0.35
16.2500,36.00,0.01,0.36
16.3000,37.00,0.01,0.37
16.3500,37.00,0.01,0.37
16.4000,38.00,0.01,0.38
16.4500,36.00,0.01,0.36
16.5000,37.00,0.01,0.37
16.5500,36.00,0.01,0.36
16.6000,36.00,0.01,0.36
16.6500,37.00,0.01,0.37
16.7000,38.00,0.01,0.38
16.7500,34.00,0.01,0.34
16.8000,36.00,0.01,0.36
16.8500,34.00,0.01,0.34
16.9000,35.00,0.01,0.35
16.9500,36.00,0.01,0.36
17.0000,36.00,0.01,0.36
17.0500,38.00,0.01,0.38
17.1000,37.00,0.01,0.37
17.1500,36.00,0.01,0.36
17.2000,38.00,0.01,0.38
17.2500,37.00,0.01,0.37
17.3000,36.00,0.01,0.36
17.3500,30.00,0.01,0.30
17.4000,20.00,0.01,0.20
17.4500,13.00,0.01,0.13
17.5000,10.00,0.01,0.10
17.5500,8.00,0.01,0.08
17.6000,7.00,0.01,0.07
17.6500,5.00,0.01,0.05
17.7000,5.00,0.01,0.05
17.7500,4.00,0.01,0.04
17.8000,6.00,0.01,0.06
17.8500,9.00,0.01,0.09
17.9000,13.00,0.01,0.13
17.9500,17.00,0.01,0.17
18.0000,19.00,0.01,0.19
18.0500,23.00,0.01,0.23
18.1000,25.00,0.01,0.25
18.1500,29.00,0.01,0.29
18.2000,32.00,0.01,0.32
18.2500,33.00,0.01,0.33
18.3000,32.00,0.01,0.32
18.3500,29.00,0.01,0.29
18.4000,25.00,0.01,0.25
18.4500,20.00,0.01,0.20
18.5000,17.00,0.01,0.17
18.5500,13.00,0.01,0.13
18.6000,12.00,0.01,0.12
18.6500,11.00,0.01,0.11
18.7000,11.00,0.01,0.11
18.7500,9.00,0.01,0.09
18.8000,6.00,0.01,0.06
18.8500,4.00,0.01,0.04
18.9000,4.00,0.01,0.04
18.9500,6.00,0.01,0.06
19.0000,4.00,0.01,0.04
19.0500,5.00,0.01,0.05
19.1000,7.00,0.01,0.07
19.1500,8.00,0.05,0.41
19.2000,12.00,0.01,0.12
19.2500,14.00,0.01,0.14
19.3000,15.00,0.01,0.15
19.3500,20.00,0.01,0.20
19.4000,22.00,0.01,0.22
19.4500,26.00,0.01,0.26
19.5000,30.00,0.01,0.30
19.5500,31.00,0.01,0.31
19.6000,31.00,0.01,0.31
19.6500,34.00,0.01,0.34
19.7000,32.00,0.01,0.32
