ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.18000000000000002,0.0,-699.7900000000001,-729.5,1
-0.16,0.0,-699.74,-729.5,1
-0.16,0.0,-699.71,-729.5,1
-0.16,0.0,-715.51,-729.5,1
-0.14,0.0,-715.52,-729.5,1
-0.16,0.0,-715.5000000000001,-729.5,1
-0.15999999999999998,0.0,-715.5600000000001,-729.5,1
-0.09999999999999998,0.0,-715.58,-729.5,1
-0.09999999999999998,0.0,-715.5600000000002,-729.5,1
-0.1,0.0,-715.5500000000002,-729.5,1
-0.1,0.0,-715.58,-729.5,1
-0.08,0.0,-715.59,-729.5,1
-0.08,0.0,-715.5700000000002,-729.5,1
-0.06,0.0,-715.5800000000002,-729.5,1
-0.04,0.0,-715.5200000000001,-729.5,1
-0.04,0.0,-715.5,-729.5,1
-0.06,0.0,-730.31,-729.5,1
-0.06,0.0,-730.3,-729.5,1
-0.1,0.0,-730.2499999999999,-729.5,1
-0.08,0.0,-730.1899999999998,-729.5,1
-0.08,0.0,-730.2199999999999,-729.5,1
-0.08,0.0,-730.17,-729.5,1
-0.1,0.0,-715.31,-729.5,1
-0.1,0.0,-715.2900000000001,-729.5,1
-0.1,0.0,-715.2600000000001,-729.25,1
-0.1,0.0,-715.23,-729.0,1
-0.1,0.0,-715.12,-729.0,1
-0.1,0.0,-715.0699999999999,-729.0,1
-0.1,0.0,-715.0499999999998,-729.0,1
-0.08,0.0,-715.01,-729.0,1
-0.08,0.0,-715.0000000000001,-729.0,1
-0.08,0.0,-714.9399999999999,-729.0,1
-0.08,0.0,-714.8799999999999,-729.0,1
-0.08,0.0,-714.8999999999999,-729.0,1
-0.08,0.0,-714.8199999999999,-729.0,1
-0.1,0.0,-714.7499999999999,-729.0,1
-0.1,0.0,-714.67,-728.75,1
-0.1,0.0,-714.65,-728.5,1
-0.1,0.0,-714.5699999999999,-728.5,1
-0.1,0.0,-714.5799999999999,-728.5,1
-0.1,0.0,-714.54,-728.5,1
-0.1,0.0,-714.47,-728.5,1
-0.1,0.0,-714.46,-728.5,1
-0.08,0.0,-714.39,-728.25,1
-0.08,0.0,-729.2199999999999,-728.25,1
-0.08,0.0,-729.1599999999999,-728.0,1
-0.1,0.0,-729.19,-728.25,1
-0.12000000000000001,0.0,-729.1700000000001,-728.25,1
-0.16,0.0,-729.0500000000001,-728.0,1
-0.16,0.0,-729.01,-728.0,1
-0.16,0.0,-714.0999999999999,-728.0,1
-0.16,0.0,-714.0499999999998,-727.75,1
-0.16,0.0,-713.96,-727.5,1
-0.18,0.0,-698.0600000000001,-727.5,1
-0.19999999999999998,0.0,-697.96,-727.5,1
-0.19999999999999998,0.0,-697.89,-727.5,1
-0.18000000000000002,0.0,-697.79,-727.5,1
-0.24000000000000002,0.0,-697.69,-727.5,1
-0.24000000000000002,0.0,-697.6300000000001,-727.5,1
-0.24000000000000002,0.0,-697.55,-727.5,1
-0.24000000000000002,0.0,-697.45,-727.5,1
