Data[0],Time,Force,X_axis,Y_axis,Z_axis
1,5.5000,1.00,-177.0000,412.5000,-2436.0000
1,5.5200,2.00,-172.5000,415.5000,-2437.5000
1,5.5400,0.00,-175.5000,412.5000,-2436.0000
1,5.5600,-1.00,-180.0000,411.0000,-2437.5000
1,5.5800,2.00,-175.5000,417.0000,-2437.5000
1,5.6000,0.00,-177.0000,412.5000,-2436.0000
1,5.6200,3.00,-177.0000,414.0000,-2434.5000
1,5.6400,2.00,-178.5000,417.0000,-2433.0000
1,5.6600,0.00,-181.5000,417.0000,-2433.0000
1,5.6800,0.00,-175.5000,415.5000,-2433.0000
1,5.7000,-3.00,-183.0000,421.5000,-2434.5000
1,5.7200,1.00,-178.5000,418.5000,-2431.5000
1,5.7400,0.00,-181.5000,411.0000,-2433.0000
1,5.7600,-1.00,-178.5000,418.5000,-2431.5000
1,5.7800,0.00,-178.5000,415.5000,-2433.0000
1,5.8000,0.00,-180.0000,417.0000,-2431.5000
1,5.8200,0.00,-178.5000,415.5000,-2434.5000
1,5.8400,0.00,-174.0000,423.0000,-2433.0000
1,5.8600,-1.00,-177.0000,418.5000,-2433.0000
1,5.8800,-1.00,-178.5000,411.0000,-2433.0000
1,5.9000,0.00,-177.0000,414.0000,-2434.5000
1,5.9200,0.00,-178.5000,417.0000,-2433.0000
1,5.9400,-2.00,-177.0000,415.5000,-2434.5000
1,5.9600,0.00,-181.5000,417.0000,-2434.5000
1,5.9800,5.00,-178.5000,420.0000,-2434.5000
1,6.0000,-2.00,-177.0000,415.5000,-2434.5000
1,6.0200,0.00,-174.0000,414.0000,-2436.0000
1,6.0400,-1.00,-174.0000,415.5000,-2434.5000
1,6.0600,0.00,-180.0000,414.0000,-2436.0000
1,6.0800,0.00,-178.5000,415.5000,-2434.5000
1,6.1000,1.00,-178.5000,417.0000,-2436.0000
1,6.1200,0.00,-172.5000,415.5000,-2434.5000
1,6.1400,0.00,-177.0000,415.5000,-2434.5000
1,6.1600,0.00,-180.0000,414.0000,-2434.5000
1,6.1800,0.00,-178.5000,418.5000,-2434.5000
1,6.2000,-2.00,-178.5000,418.5000,-2434.5000
1,6.2200,2.00,-178.5000,415.5000,-2436.0000
1,6.2400,0.00,-178.5000,418.5000,-2433.0000
1,6.2600,0.00,-180.0000,417.0000,-2433.0000
1,6.2800,0.00,-178.5000,415.5000,-2434.5000
1,6.3000,1.00,-178.5000,412.5000,-2434.5000
1,6.3200,0.00,-177.0000,412.5000,-2433.0000
1,6.3400,-3.00,-178.5000,415.5000,-2434.5000
1,6.3600,-1.00,-178.5000,417.0000,-2434.5000
1,6.3800,1.00,-177.0000,420.0000,-2436.0000
1,6.4000,0.00,-175.5000,417.0000,-2436.0000
1,6.4200,0.00,-175.5000,415.5000,-2433.0000
1,6.4400,1.00,-178.5000,414.0000,-2433.0000
1,6.4600,-1.00,-178.5000,412.5000,-2434.5000
1,6.4800,-1.00,-177.0000,417.0000,-2434.5000
1,6.5000,0.00,-174.0000,417.0000,-2436.0000
1,6.5200,-2.00,-178.5000,417.0000,-2434.5000
1,6.5400,1.00,-180.0000,415.5000,-2433.0000
1,6.5600,0.00,-177.0000,415.5000,-2431.5000
1,6.5800,-1.00,-180.0000,417.0000,-2433.0000
1,6.6000,1.00,-181.5000,415.5000,-2433.0000
1,6.6200,-4.00,-178.5000,415.5000,-2433.0000
1,6.6400,0.00,-178.5000,415.5000,-2433.0000
1,6.6600,2.00,-177.0000,414.0000,-2433.0000
1,6.6800,-2.00,-178.5000,414.0000,-2431.5000
1,6.7000,3.00,-180.0000,414.0000,-2433.0000
1,6.7200,1.00,-175.5000,418.5000,-2434.5000
1,6.7400,0.00,-178.5000,418.5000,-2433.0000
1,6.7600,0.00,-180.0000,420.0000,-2434.5000
1,6.7800,0.00,-177.0000,414.0000,-2434.5000
1,6.8000,-2.00,-184.5000,417.0000,-2434.5000
1,6.8200,0.00,-177.0000,412.5000,-2431.5000
1,6.8400,0.00,-180.0000,414.0000,-2433.0000
1,6.8600,1.00,-183.0000,411.0000,-2433.0000
1,6.8800,3.00,-183.0000,412.5000,-2434.5000
1,6.9000,0.00,-187.5000,414.0000,-2434.5000
1,6.9200,0.00,-181.5000,414.0000,-2433.0000
1,6.9400,1.00,-184.5000,406.5000,-2436.0000
1,6.9600,1.00,-178.5000,405.0000,-2434.5000
1,6.9800,-1.00,-183.0000,409.5000,-2434.5000
1,7.0000,-1.00,-183.0000,409.5000,-2434.5000
1,7.0200,0.00,-181.5000,405.0000,-2434.5000
1,7.0400,0.00,-178.5000,412.5000,-2433.0000
1,7.0600,1.00,-187.5000,408.0000,-2434.5000
1,7.0800,1.00,-186.0000,409.5000,-2436.0000
1,7.1000,0.00,-186.0000,405.0000,-2434.5000
1,7.1200,0.00,-184.5000,405.0000,-2434.5000
1,7.1400,-1.00,-180.0000,409.5000,-2436.0000
1,7.1600,0.00,-187.5000,406.5000,-2433.0000
1,7.1800,0.00,-184.5000,405.0000,-2436.0000
1,7.2000,1.00,-186.0000,406.5000,-2434.5000
1,7.2200,4.00,-183.0000,409.5000,-2433.0000
1,7.2400,-1.00,-184.5000,409.5000,-2434.5000
1,7.2600,0.00,-184.5000,406.5000,-2436.0000
1,7.2800,-3.00,-186.0000,408.0000,-2434.5000
1,7.3000,2.00,-184.5000,408.0000,-2434.5000
1,7.3200,-1.00,-183.0000,408.0000,-2433.0000
1,7.3400,0.00,-186.0000,409.5000,-2434.5000
1,7.3600,1.00,-183.0000,406.5000,-2434.5000
1,7.3800,3.00,-183.0000,409.5000,-2434.5000
1,7.4000,0.00,-186.0000,408.0000,-2434.5000
1,7.4200,0.00,-186.0000,406.5000,-2436.0000
1,7.4400,-1.00,-187.5000,408.0000,-2433.0000
1,7.4600,0.00,-178.5000,411.0000,-2434.5000
1,7.4800,0.00,-180.0000,409.5000,-2434.5000
1,7.5000,0.00,-181.5000,405.0000,-2434.5000
1,7.5200,1.00,-184.5000,406.5000,-2434.5000
1,7.5400,-2.00,-183.0000,406.5000,-2433.0000
1,7.5600,0.00,-181.5000,406.5000,-2434.5000
1,7.5800,0.00,-186.0000,405.0000,-2433.0000
1,7.6000,2.00,-186.0000,408.0000,-2434.5000
1,7.6200,2.00,-186.0000,409.5000,-2433.0000
1,7.6400,0.00,-187.5000,411.0000,-2434.5000
1,7.6600,1.00,-181.5000,405.0000,-2433.0000
1,7.6800,-1.00,-186.0000,409.5000,-2433.0000
1,7.7000,0.00,-187.5000,411.0000,-2433.0000
1,7.7200,0.00,-184.5000,411.0000,-2433.0000
1,7.7400,-1.00,-181.5000,409.5000,-2433.0000
1,7.7600,-1.00,-184.5000,411.0000,-2434.5000
1,7.7800,0.00,-189.0000,406.5000,-2436.0000
1,7.8000,2.00,-184.5000,409.5000,-2436.0000
1,7.8200,0.00,-184.5000,408.0000,-2434.5000
1,7.8400,0.00,-184.5000,412.5000,-2433.0000
1,7.8600,0.00,-186.0000,408.0000,-2434.5000
1,7.8800,0.00,-187.5000,411.0000,-2433.0000
1,7.9000,0.00,-187.5000,406.5000,-2433.0000
1,7.9200,0.00,-186.0000,408.0000,-2433.0000
1,7.9400,-2.00,-187.5000,411.0000,-2434.5000
1,7.9600,2.00,-183.0000,409.5000,-2434.5000
1,7.9800,1.00,-187.5000,406.5000,-2433.0000
1,8.0000,0.00,-181.5000,412.5000,-2433.0000
1,8.0200,2.00,-184.5000,408.0000,-2434.5000
1,8.0400,0.00,-186.0000,409.5000,-2434.5000
1,8.0600,0.00,-183.0000,408.0000,-2434.5000
1,8.0800,1.00,-183.0000,409.5000,-2433.0000
1,8.1000,0.00,-184.5000,411.0000,-2434.5000
1,8.1200,2.00,-184.5000,408.0000,-2433.0000
1,8.1400,0.00,-183.0000,403.5000,-2436.0000
1,8.1600,0.00,-183.0000,406.5000,-2434.5000
1,8.1800,0.00,-184.5000,406.5000,-2436.0000
1,8.2000,0.00,-184.5000,412.5000,-2433.0000
1,8.2200,0.00,-183.0000,409.5000,-2431.5000
1,8.2400,2.00,-187.5000,411.0000,-2433.0000
1,8.2600,1.00,-183.0000,405.0000,-2434.5000
1,8.2800,0.00,-184.5000,408.0000,-2436.0000
1,8.3000,-1.00,-184.5000,408.0000,-2436.0000
1,8.3200,0.00,-184.5000,408.0000,-2434.5000
1,8.3400,0.00,-183.0000,408.0000,-2433.0000
1,8.3600,0.00,-187.5000,411.0000,-2434.5000
1,8.3800,1.00,-183.0000,409.5000,-2433.0000
1,8.4000,0.00,-183.0000,406.5000,-2433.0000
1,8.4200,0.00,-181.5000,409.5000,-2433.0000
1,8.4400,0.00,-184.5000,414.0000,-2434.5000
1,8.4600,1.00,-186.0000,409.5000,-2434.5000
1,8.4800,0.00,-180.0000,406.5000,-2434.5000
1,8.5000,0.00,-187.5000,411.0000,-2436.0000
1,8.5200,-3.00,-183.0000,406.5000,-2434.5000
1,8.5400,-1.00,-181.5000,405.0000,-2433.0000
1,8.5600,0.00,-184.5000,411.0000,-2431.5000
1,8.5800,-3.00,-180.0000,412.5000,-2433.0000
1,8.6000,1.00,-181.5000,409.5000,-2434.5000
1,8.6200,0.00,-186.0000,406.5000,-2434.5000
1,8.6400,0.00,-183.0000,405.0000,-2434.5000
1,8.6600,-1.00,-186.0000,409.5000,-2433.0000
1,8.6800,1.00,-184.5000,411.0000,-2433.0000
1,8.7000,0.00,-184.5000,403.5000,-2434.5000
1,8.7200,0.00,-189.0000,408.0000,-2436.0000
1,8.7400,1.00,-181.5000,411.0000,-2434.5000
1,8.7600,0.00,-181.5000,408.0000,-2433.0000
1,8.7800,0.00,-183.0000,412.5000,-2434.5000
1,8.8000,-1.00,-184.5000,406.5000,-2433.0000
1,8.8200,0.00,-181.5000,409.5000,-2434.5000
1,8.8400,1.00,-183.0000,411.0000,-2431.5000
1,8.8600,-2.00,-184.5000,406.5000,-2434.5000
1,8.8800,-1.00,-184.5000,409.5000,-2433.0000
1,8.9000,0.00,-184.5000,405.0000,-2433.0000
1,8.9200,-1.00,-184.5000,411.0000,-2436.0000
1,8.9400,-3.00,-184.5000,409.5000,-2433.0000
1,8.9600,-1.00,-181.5000,406.5000,-2433.0000
1,8.9800,-1.00,-183.0000,409.5000,-2434.5000
1,9.0000,0.00,-184.5000,409.5000,-2433.0000
1,9.0200,-1.00,-186.0000,405.0000,-2434.5000
1,9.0400,1.00,-187.5000,408.0000,-2434.5000
1,9.0600,0.00,-184.5000,409.5000,-2433.0000
1,9.0800,-3.00,-184.5000,408.0000,-2433.0000
