Data[0],Time,Force,Mag,Accel,Gyro
1,4.4800,7.00,22.5000,0.8110,-0.2441
1,4.5000,6.00,25.5000,0.8112,-0.1831
1,4.5200,7.00,18.0000,0.8103,-0.1831
1,4.5400,5.00,24.0000,0.8103,-0.1831
1,4.5600,6.00,22.5000,0.8109,-0.1831
1,4.5800,7.00,21.0000,0.8101,-0.1831
1,4.6000,7.00,25.5000,0.8103,-0.1831
1,4.6200,5.00,21.0000,0.8110,-0.1831
1,4.6400,6.00,28.5000,0.8105,-0.1831
1,4.6600,5.00,21.0000,0.8107,-0.1831
1,4.6800,6.00,16.5000,0.8113,-0.1831
1,4.7000,6.00,21.0000,0.8102,-0.1831
1,4.7200,7.00,22.5000,0.8104,-0.1831
1,4.7400,7.00,30.0000,0.8104,-0.1831
1,4.7600,11.00,24.0000,0.8104,-0.1831
1,4.7800,8.00,21.0000,0.8110,-0.1831
1,4.8000,3.00,22.5000,0.8114,-0.1831
1,4.8200,8.00,27.0000,0.8109,-0.2441
1,4.8400,8.00,21.0000,0.8101,-0.1831
1,4.8600,4.00,19.5000,0.8105,-0.1831
1,4.8800,6.00,27.0000,0.8104,-0.1831
1,4.9000,6.00,19.5000,0.8105,-0.1831
1,4.9200,5.00,25.5000,0.8113,-0.1831
1,4.9400,6.00,24.0000,0.8104,-0.1831
1,4.9600,6.00,19.5000,0.8108,-0.1831
1,4.9800,6.00,22.5000,0.8113,-0.1831
1,5.0000,4.00,22.5000,0.8113,-0.1831
1,5.0200,7.00,22.5000,0.8107,-0.1831
1,5.0400,5.00,19.5000,0.8104,-0.1831
1,5.0600,6.00,25.5000,0.8102,-0.1831
1,5.0800,7.00,22.5000,0.8110,-0.1831
1,5.1000,4.00,25.5000,0.8107,-0.2441
1,5.1200,8.00,21.0000,0.8107,-0.1831
1,5.1400,6.00,22.5000,0.8105,-0.1831
1,5.1600,4.00,18.0000,0.8112,-0.1831
1,5.1800,6.00,22.5000,0.8108,-0.1831
1,5.2000,6.00,19.5000,0.8109,-0.2441
1,5.2200,7.00,24.0000,0.8110,-0.1831
1,5.2400,6.00,25.5000,0.8105,-0.1831
1,5.2600,7.00,22.5000,0.8103,-0.1831
1,5.2800,7.00,25.5000,0.8104,-0.1831
1,5.3000,3.00,21.0000,0.8099,-0.1831
1,5.3200,6.00,22.5000,0.8110,-0.1831
1,5.3400,6.00,22.5000,0.8099,-0.1831
1,5.3600,6.00,19.5000,0.8110,-0.1831
1,5.3800,6.00,24.0000,0.8112,-0.1831
1,5.4000,8.00,25.5000,0.8103,-0.1831
1,5.4200,6.00,24.0000,0.8112,-0.1831
1,5.4400,5.00,15.0000,0.8116,-0.1831
1,5.4600,8.00,22.5000,0.8108,-0.1831
1,5.4800,5.00,24.0000,0.8104,-0.1831
1,5.5000,6.00,16.5000,0.8107,-0.1831
1,5.5200,6.00,22.5000,0.8110,-0.1831
1,5.5400,4.00,27.0000,0.8112,-0.1831
1,5.5600,7.00,22.5000,0.8105,-0.1831
1,5.5800,4.00,22.5000,0.8102,-0.1221
1,5.6000,6.00,25.5000,0.8102,-0.1831
1,5.6200,7.00,13.5000,0.8112,-0.1831
1,5.6400,7.00,21.0000,0.8109,-0.1831
1,5.6600,5.00,21.0000,0.8114,-0.1831
1,5.6800,6.00,21.0000,0.8107,-0.1831
1,5.7000,7.00,22.5000,0.8107,-0.1831
1,5.7200,6.00,21.0000,0.8102,-0.1831
1,5.7400,5.00,24.0000,0.8105,-0.1831
1,5.7600,8.00,25.5000,0.8105,-0.1831
1,5.7800,5.00,16.5000,0.8110,-0.1831
1,5.8000,8.00,22.5000,0.8108,-0.1831
1,5.8200,7.00,27.0000,0.8103,-0.1831
1,5.8400,5.00,21.0000,0.8105,-0.1831
1,5.8600,7.00,22.5000,0.8105,-0.1831
1,5.8800,7.00,24.0000,0.8115,-0.1831
1,5.9000,8.00,21.0000,0.8099,-0.1831
1,5.9200,5.00,21.0000,0.8108,-0.1831
1,5.9400,9.00,24.0000,0.8101,-0.1831
1,5.9600,6.00,22.5000,0.8110,-0.1831
1,5.9800,7.00,27.0000,0.8101,-0.1831
1,6.0000,8.00,21.0000,0.8103,-0.1831
1,6.0200,5.00,16.5000,0.8108,-0.1831
1,6.0400,5.00,19.5000,0.8112,-0.1831
1,6.0600,7.00,19.5000,0.8105,-0.1831
1,6.0800,5.00,19.5000,0.8103,-0.1831
1,6.1000,8.00,25.5000,0.8098,-0.1831
1,6.1200,6.00,27.0000,0.8114,-0.1831
1,6.1400,6.00,18.0000,0.8110,-0.1831
1,6.1600,6.00,22.5000,0.8107,-0.1831
1,6.1800,7.00,19.5000,0.8103,-0.1831
1,6.2000,7.00,21.0000,0.8105,-0.1831
1,6.2200,4.00,21.0000,0.8104,-0.1831
1,6.2400,9.00,22.5000,0.8113,-0.2441
1,6.2600,8.00,27.0000,0.8105,-0.1831
1,6.2800,8.00,16.5000,0.8109,-0.1831
1,6.3000,6.00,19.5000,0.8104,-0.1831
1,6.3200,5.00,19.5000,0.8107,-0.1831
1,6.3400,6.00,19.5000,0.8114,-0.1831
1,6.3600,6.00,19.5000,0.8114,-0.1831
1,6.3800,7.00,25.5000,0.8107,-0.2441
1,6.4000,5.00,21.0000,0.8109,-0.1831
1,6.4200,4.00,16.5000,0.8114,-0.1831
1,6.4400,8.00,21.0000,0.8112,-0.1831
1,6.4600,5.00,21.0000,0.8101,-0.1831
1,6.4800,7.00,21.0000,0.8099,-0.1831
1,6.5000,6.00,21.0000,0.8116,-0.1831
1,6.5200,6.00,19.5000,0.8105,-0.1831
1,6.5400,6.00,21.0000,0.8105,-0.1831
1,6.5600,5.00,19.5000,0.8108,-0.1831
1,6.5800,5.00,19.5000,0.8108,-0.1831
1,6.6000,6.00,24.0000,0.8103,-0.1831
1,6.6200,4.00,24.0000,0.8109,-0.2441
1,6.6400,7.00,16.5000,0.8108,-0.1831
1,6.6600,6.00,24.0000,0.8101,-0.1221
1,6.6800,4.00,21.0000,0.8104,-0.1221
1,6.7000,7.00,21.0000,0.8108,-0.1831
1,6.7200,6.00,21.0000,0.8105,-0.1831
1,6.7400,8.00,25.5000,0.8105,-0.1831
1,6.7600,7.00,25.5000,0.8110,-0.1831
1,6.7800,6.00,19.5000,0.8103,-0.1831
1,6.8000,7.00,22.5000,0.8098,-0.2441
1,6.8200,5.00,21.0000,0.8109,-0.1831
1,6.8400,6.00,25.5000,0.8112,-0.1831
1,6.8600,7.00,25.5000,0.8109,-0.1831
1,6.8800,9.00,22.5000,0.8108,-0.1831
1,6.9000,7.00,24.0000,0.8107,-0.1831
1,6.9200,5.00,30.0000,0.8105,-0.1831
1,6.9400,7.00,22.5000,0.8109,-0.1831
1,6.9600,6.00,19.5000,0.8113,-0.1831
1,6.9800,7.00,22.5000,0.8110,-0.1831
1,7.0000,6.00,19.5000,0.8103,-0.1831
1,7.0200,11.00,22.5000,0.8104,-0.1831
1,7.0400,7.00,22.5000,0.8101,-0.1831
1,7.0600,6.00,24.0000,0.8107,-0.1831
1,7.0800,7.00,21.0000,0.8114,-0.1831
1,7.1000,6.00,24.0000,0.8112,-0.1831
