ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,ave_filt_accel,med_filt_accel,ave_filt_gyro,med_filt_gyro,Class
-0.24,0.0,-729.44,-730.0,-729.44,-730.0,-729.44,-730.0,1
-0.22,0.0,-729.5800000000002,-730.0,-729.5800000000002,-730.0,-729.5800000000002,-730.0,1
-0.22,0.0,-729.6300000000001,-730.0,-729.6300000000001,-730.0,-729.6300000000001,-730.0,1
-0.24,0.0,-729.75,-730.25,-729.75,-730.25,-729.75,-730.25,1
-0.2,0.0,-729.84,-730.25,-729.84,-730.25,-729.84,-730.25,1
-0.19999999999999998,0.0,-729.94,-730.75,-729.94,-730.75,-729.94,-730.75,1
-0.2,0.0,-729.98,-730.75,-729.98,-730.75,-729.98,-730.75,1
-0.2,0.0,-730.14,-731.0,-730.14,-731.0,-730.14,-731.0,1
-0.19999999999999998,0.0,-730.22,-731.0,-730.22,-731.0,-730.22,-731.0,1
-0.19999999999999998,0.0,-730.3200000000002,-731.0,-730.3200000000002,-731.0,-730.3200000000002,-731.0,1
-0.15999999999999998,0.0,-730.3600000000001,-731.0,-730.3600000000001,-731.0,-730.3600000000001,-731.0,1
-0.16,0.0,-730.45,-731.0,-730.45,-731.0,-730.45,-731.0,1
-0.18,0.0,-730.5100000000001,-731.0,-730.5100000000001,-731.0,-730.5100000000001,-731.0,1
-0.17999999999999997,0.0,-730.5100000000001,-731.0,-730.5100000000001,-731.0,-730.5100000000001,-731.0,1
-0.15999999999999998,0.0,-730.5600000000001,-731.0,-730.5600000000001,-731.0,-730.5600000000001,-731.0,1
-0.15999999999999998,0.0,-730.5800000000002,-731.0,-730.5800000000002,-731.0,-730.5800000000002,-731.0,1
-0.16,0.0,-730.5900000000001,-731.0,-730.5900000000001,-731.0,-730.5900000000001,-731.0,1
-0.16,0.0,-730.6,-731.0,-730.6,-731.0,-730.6,-731.0,1
-0.15999999999999998,0.0,-730.61,-731.0,-730.61,-731.0,-730.61,-731.0,1
-0.15999999999999998,0.0,-730.59,-731.0,-730.59,-731.0,-730.59,-731.0,1
-0.15999999999999998,0.0,-730.5699999999999,-731.0,-730.5699999999999,-731.0,-730.5699999999999,-731.0,1
-0.15999999999999998,0.0,-730.58,-731.0,-730.58,-731.0,-730.58,-731.0,1
-0.15999999999999998,0.0,-730.5500000000001,-731.0,-730.5500000000001,-731.0,-730.5500000000001,-731.0,1
-0.14,0.0,-730.54,-731.0,-730.54,-731.0,-730.54,-731.0,1
-0.14,0.0,-730.4799999999999,-731.0,-730.4799999999999,-731.0,-730.4799999999999,-731.0,1
-0.12,0.0,-730.4699999999999,-731.0,-730.4699999999999,-731.0,-730.4699999999999,-731.0,1
-0.1,0.0,-730.4,-731.0,-730.4,-731.0,-730.4,-731.0,1
